name,followers,popularity
Bryan Kearney,32081,45
Cyantific,19496,45
Nic Fanciulli,47981,45
Kevu,12831,45
Sean Tyas,26460,45
Blunts & Blondes,22954,45
Carbin,14822,45
Justin Martin,46039,44
Lil Texas,10258,44
Matt Lange,20750,44
Andrea Oliva,25996,44
Anja Schneider,48638,44
Dubloadz,55866,44
Infekt,29349,44
Dorfex Bos,3118,44
Mihalis Safras,18050,43
Rinzen,4515,43
David Gravell,21270,43
Audiofreq,19218,43
Davey Asprey,6255,43
Electric Universe,41054,43
Junkie Kid,14928,43
Downlink,65262,43
Badklaat,33482,42
VNSSA,4350,42
Jay Robinson,4390,42
John Digweed,112416,42
Loadstar,25869,42
James Dymond,8324,42
Shlump,20949,42
Mark Sherry,11615,41
Josh Wink,21878,41
Technasia,46140,41
M.A.N.D.Y.,36056,41
Chris Liebing,77704,41
Len Faki,90417,41
ETC!ETC!,24902,41
Yakz,12993,41
LTJ Bukem,50411,41
Ferry Tayle,9911,41
Reality Test,22085,41
Protohype,24232,41
Hekler,19931,40
Joseph Capriati,122356,40
Oolacile,23383,40
Loco Dice,131502,40
Ilario Alicante,51047,40
Nicole Moudaber,62834,40
Richie Hawtin,190042,40
Marcel Dettmann,53335,40
Rad Cat,3700,40
Dimibo,1769,40
Chris Schweizer,15093,40
Hydraulix,10199,40
Cut Snake,14955,39
Rawtek,8108,39
Luigi Madonna,36216,39
The Widdler,21406,39
Dillon Nathaniel,11447,38
Sven Väth,137643,38
Kayoh,3723,38
Cookie Monsta,90135,38
DMVU,11622,38
Shadient,5177,38
SubDocta,14172,38
Rob Gee,4196,37
Tsuruda,13168,37
Stefano Noferini,32845,37
Richy Ahmed,28109,37
Monika Kruse,49339,37
Ducka Shan,4594,37
Kutski,6163,37
Aweminus,15056,37
Phiso,14105,36
Archie Hamilton,11546,36
Bleep Bloop,21418,36
David Forbes,6509,36
Noize Suppressor,29151,36
Somnium Sound,11026,36
John Askew,14311,35
JSTJR,8561,35
HVDES,5240,35
Steve Darko,6855,35
Egorythmia,15917,35
Scot Project,4380,34
Jase Thirlwall,1352,34
Paul Denton,2561,34
Jon Rundell,4837,34
J. Worra,5182,34
Enzo Siragusa,9641,34
Paco Osuna,60584,34
OMNOM,7261,34
Evol Intent,20377,34
Slooze,1904,33
Johan Gielen,5245,33
Squnto,16485,33
Dack Janiels,13324,32
DJ Soda,4901,32
Carlo Lio,12336,32
Alessandra Roncone,2556,32
The Sidekicks,11019,32
Space Corps,316,31
Thugfucker,4259,31
Ryden,8921,31
Sacha Robotti,9822,31
Dave Neven,1736,31
Menno de Jong,7432,31
Marco Bailey,17688,30
Fabio Neural,1305,30
James Zabiela,20154,30
Jkyl & Hyde,2449,30
Kryoman,2414,29
Maria Healy,808,29
Yoji Biomehanika,4751,29
Lady Faith,5874,28
Monstergetdown,3476,28
Declan James,1408,28
DJ Stephanie,8931,28
Wenzday,1919,28
Al Ross,4544,28
Eric Powell,596,27
Brennen Grey,2067,27
Jeffrey Sutorius,4461,27
Sage Armstrong,6974,27
Fancy Monster,2528,27
Kendoll,3065,26
Elio Riso,3213,25
Pathfinders,205,25
Anakim,716,24
Ashley Smith,533,24
Kalipzo,1311,24
Eyes Everywhere,1361,23
Huxley Anne,3382,23
Gentech,492,22
Joint Operations Centre,1943,22
Niko Zografos,625,19
Kristina Sky,988,18
Marques Wyatt,3051,17
Kyle Walker,882,17
Sentinel 7,395,17
Callie Reiff,1728,16
Maxxus,204,16
Afrobeta,5958,13
Mykris,1704,10
Rick Trainor,187,6
Richard Fraioli,332,6
Motoe Haus,82,3
Aidan Sokol,48,2
Kenny Oliver,44,2
Bebe Breaks,11,1
Josh Newsham,3,0
Josh Wetherington,20,0
Nicolas Matar,307,0
Khromata,18,0
